********************************************************************************

Run rabbit for randu and n = 1000...Success.
Parse rabbit for randu...algo: randu; test: CollisionOver; p-value:  9.9e-5;
algo: randu; test: ClosePairsBitMatch; p-value:  0.0016;
algo: randu; test: ClosePairsBitMatch2; p-value:  0.0051;
algo: randu; test: AppearanceSpacings; p-value:  0.6;
algo: randu; test: LinearComp; p-value:  0.21;
algo: randu; test: LinearComp2; p-value:  0.93;
algo: randu; test: LempelZiv; p-value:  0.99;
algo: randu; test: Fourier1; p-value:  0.82;
algo: randu; test: Fourier3; p-value:  0.03;
algo: randu; test: Fourier32; p-value:  0.96;
algo: randu; test: Fourier322; p-value:  0.02;
algo: randu; test: PeriodsInStrings; p-value:  0.02;
algo: randu; test: HammingWeight; p-value:  0.54;
algo: randu; test: HammingCorr; p-value:  6.8e-8;
algo: randu; test: HammingCorr2; p-value:  4.9e-7;
algo: randu; test: HammingCorr2; p-value:  2.1e-8;
algo: randu; test: HammingIndep; p-value:  0.21;
algo: randu; test: AutoCor; p-value:  0.82;
algo: randu; test: AutoCor2; p-value:  0.9957;
algo: randu; test: Run; p-value:  0.06;
algo: randu; test: Run2; p-value:  0.16;
algo: randu; test: RandomWalk1; p-value:  0.0011;
algo: randu; test: RandomWalk12; p-value:  0.0054;
algo: randu; test: RandomWalk122; p-value:  2.3e-5;
algo: randu; test: RandomWalk1222; p-value:  0.14;
algo: randu; test: RandomWalk12222; p-value:  0.46;
Success.
********************************************************************************

********************************************************************************

Run rabbit for randu and n = 10000...Success.
Parse rabbit for randu...algo: randu; test: CollisionOver; p-value:  0.72;
algo: randu; test: ClosePairsBitMatch; p-value:  0.17;
algo: randu; test: ClosePairsBitMatch2; p-value:  0.0029;
algo: randu; test: AppearanceSpacings; p-value:  0.81;
algo: randu; test: LinearComp; p-value:  0.92;
algo: randu; test: LinearComp2; p-value:  0.83;
algo: randu; test: LempelZiv; p-value:  0.78;
algo: randu; test: Fourier1; p-value:  0.18;
algo: randu; test: Fourier3; p-value:  0.0019;
algo: randu; test: Fourier32; p-value:  0.02;
algo: randu; test: Fourier322; p-value:  1.1e-5;
algo: randu; test: PeriodsInStrings; p-value:  2.6e-15;
algo: randu; test: HammingWeight; p-value:  0.9;
algo: randu; test: HammingCorr; p-value:  0.01;
algo: randu; test: HammingCorr2; p-value:  0.03;
algo: randu; test: HammingCorr2; p-value:  0.03;
algo: randu; test: HammingIndep; p-value:  0.28;
algo: randu; test: HammingIndep2; p-value:  0.02;
algo: randu; test: HammingIndep2; p-value:  0.63;
algo: randu; test: AutoCor; p-value:  0.05;
algo: randu; test: AutoCor2; p-value:  0.9999;
algo: randu; test: Run; p-value:  0.001;
algo: randu; test: Run2; p-value:  0.87;
algo: randu; test: RandomWalk1; p-value:  0.19;
algo: randu; test: RandomWalk12; p-value:  8.2e-9;
algo: randu; test: RandomWalk122; p-value:  3.0e-10;
algo: randu; test: RandomWalk1222; p-value:  0.64;
algo: randu; test: RandomWalk12222; p-value:  0.62;
Success.
********************************************************************************

********************************************************************************

Run rabbit for randu and n = 100000...Success.
Parse rabbit for randu...algo: randu; test: CollisionOver; p-value:  0.11;
algo: randu; test: ClosePairsBitMatch; p-value:  0.02;
algo: randu; test: ClosePairsBitMatch2; p-value:  4.4e-6;
algo: randu; test: AppearanceSpacings; p-value:  0.999982;
algo: randu; test: LinearComp; p-value:  0.81;
algo: randu; test: LinearComp2; p-value:  0.77;
algo: randu; test: LempelZiv; p-value:  0.9991;
algo: randu; test: Fourier1; p-value:  2.220446049250313e-16;
algo: randu; test: Fourier3; p-value:  9.5e-18;
algo: randu; test: Fourier32; p-value:  0.02;
algo: randu; test: Fourier322; p-value:  5.8e-75;
algo: randu; test: LongestHeadRun; p-value:  0.56;
algo: randu; test: LongestHeadRun2; p-value:  0.78;
algo: randu; test: PeriodsInStrings; p-value:  2.220446049250313e-16;
algo: randu; test: HammingWeight; p-value:  2.1e-13;
algo: randu; test: HammingCorr; p-value:  3.1e-8;
algo: randu; test: HammingCorr2; p-value:  2.8e-8;
algo: randu; test: HammingCorr2; p-value:  3.9e-7;
algo: randu; test: HammingIndep; p-value:  2.220446049250313e-16;
algo: randu; test: HammingIndep2; p-value:  2.0e-11;
algo: randu; test: HammingIndep2; p-value:  1.9e-6;
algo: randu; test: AutoCor; p-value:  2.220446049250313e-16;
algo: randu; test: AutoCor2; p-value:  1.0;
algo: randu; test: Run; p-value:  2.220446049250313e-16;
algo: randu; test: Run2; p-value:  0.9999999933;
algo: randu; test: MatrixRank; p-value:  2.220446049250313e-16;
algo: randu; test: RandomWalk1; p-value:  3.2e-10;
algo: randu; test: RandomWalk12; p-value:  2.220446049250313e-16;
algo: randu; test: RandomWalk122; p-value:  3.6e-10;
algo: randu; test: RandomWalk1222; p-value:  0.4;
algo: randu; test: RandomWalk12222; p-value:  2.2e-7;
algo: randu; test: RandomWalk12; p-value:  5.6e-16;
algo: randu; test: RandomWalk122; p-value:  1.1e-5;
algo: randu; test: RandomWalk1222; p-value:  0.03;
algo: randu; test: RandomWalk12222; p-value:  0.85;
algo: randu; test: RandomWalk122222; p-value:  0.65;
Success.
********************************************************************************

********************************************************************************

Run rabbit for randu and n = 1000000...Success.
Parse rabbit for randu...algo: randu; test: CollisionOver; p-value:  0.2;
